jf_code,asin,pan_eu_status,expires,title
"","B00Z9W12HE","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","HPC Medium Duty Clinical Waste Sacks For Incineration – 11/17x26 - Yellow - Roll of 50…"
"","B01081B1ZS","Enrolment ended","Sat Jan 25 11:36:46 UTC 2020","Rocialle Multivac Sterile Single Wrapped Bowl 500ml - Pack of 10"
"","B010QX63EM","Enrolment ended","Wed May 29 08:38:34 UTC 2019","PDI Hygea Hands & Face Wipes - Pack of 80"
"","B0189JTYU0","Enrolment ended","Sat Jan 25 11:09:33 UTC 2020","Silflex - Silicone Contact Layer Dressing 5cm x 7cm (x10)"
"","B01DWFGO9K","Enrolment ended","Sat Jan 25 11:09:31 UTC 2020","SemperCare Vinyl Powder-Free Latex-Free Examination Gloves (Box of 100) (Small)"
"","B01H3M8EVO","Enrolment ended","Mon Dec 10 04:01:03 UTC 2018","Clinell Detergent Wipes - Pack of 215 - Alcohol Free - Multi-Surface Wipe for General Cleaning, Strong & Durable, Low Smear Formula"
"","B01HQVLG26","Enrolment ended","Sat Jan 25 11:18:51 UTC 2020","Sorbsan Flat Dressing 5cm x 5cm (x10) by Aspen Medical"
"","B01INE7VQK","Enrolment ended","Tue Nov 19 12:32:56 UTC 2019","Sempermed G823781737 Gloves, Latex, Non-Sterile, Powder-Free, Large (Pack of 100)"
"","B01IV5DSYA","Enrolment ended","Wed Feb 12 23:05:12 UTC 2020","Retinol 10Tr…"
"","B01LYJVCDJ","Enrolment ended","Tue Nov 19 12:28:20 UTC 2019","Amzhealth Foam Oral Swab (250) Pink"
"","B01MR5JBSH","Enrolment ended","Tue Aug 12 21:16:23 UTC 2025","JFA Washproof Large Strip Plasters 22 x 72mm 100 Plasters Per Pack - Bulk buy discounts. Long expiry date (2 boxes)"
"","B01MSR2YO6","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Small White Open Weave Bandages - Pack of 12 (5cmx5m)"
"","B01MU9RG8E","Enrolment ended","Mon Feb 05 12:51:57 UTC 2024","JFA Medical Fabric Dressing Plaster Strips - pack of 5 (4cm x 1m)"
"","B01MUA8Z72","Enrolment ended","Sat Jan 25 11:18:49 UTC 2020","100 Wooden Tongue Depressors"
"","B01MY6XIW4","Enrolment ended","Mon Nov 19 23:31:12 UTC 2018","Ugo Fix Catheter Strap (x5) – Medical Catheter Securement Thigh Support Strap/Holder with Anti Slip Silicone Grip - Washable and Reusable (Long - Pack of 5)"
"","B01MYROVET","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","Small White Open Weave Bandages - Pack of 12 (7.5cmx5m)"
"","B01MYRP3RZ","Enrolment ended","Mon Jan 15 20:47:10 UTC 2018","JFA Brown Elastic Adhesive Bandages - pack of 3 (7.5cmx4.5m)"
"","B01N1LL62W","Enrolment ended","Mon Mar 18 07:18:23 UTC 2019","CeraVe Foaming Cleanser 16 oz for Daily Face Washing, Normal to Oily Skin"
"","B01N3RV2C9","Enrolment ended","Mon Nov 19 23:31:14 UTC 2018","Reynard Alcohol-Free Incontinence Wipes - 3 x 25pk (75 Wipes)"
"","B01N63TKYB","Enrolment ended","Sat Sep 07 13:32:38 UTC 2024","JFA Medical Cotton Crepe Bandages with elastic metal clips (7.5cmx4.5m) - Pack of 12"
"","B01N759ZAI","Enrolment ended","Tue Jun 30 23:59:59 UTC 2020","JFA Medical Cotton Crepe Bandages with elastic metal clips (5cmx4.5m) - Pack of 12"
"","B01N79XQ05","Enrolment ended","Mon Jan 15 20:48:37 UTC 2018","JFA Brown Elastic Adhesive Bandages - pack of 3 (5cmx4.5m)"
"","B01N8RI7W2","Enrolment ended","Sat Sep 07 13:06:35 UTC 2024","JFA Fabric Small Strip Plasters 19 x 38mm 100 Plasters Per Pack"
"","B06XJRFFKJ","Enrolment ended","Sat Sep 07 13:18:39 UTC 2024","JFA Transparent Washproof Assorted Plasters (6 Sizes) 100 Plasters Per Box"
"","B074M79Z98","Enrolment ended","Sat Sep 07 13:20:50 UTC 2024","JFA Medical 13cm Green Plastic Disposable Tweezers – Pack of 30"
"","B077S676W4","Enrolment ended","Fri Aug 23 06:06:36 UTC 2019","Allevyn AG Gentle Border Silver Dressings 10cm x 10cm (Pack of 10)"
"","B07G82CBPB","Enrolment ended","Wed Feb 12 23:05:13 UTC 2020","Pack of 6 Extra Large Sterile Ambulance Trauma Bandages with 32cm x 20cm Absorbent Dressing Pad"
"","B07H2N186X","Enrolment ended","Tue Dec 01 23:34:47 UTC 2020","100 Pairs of Individually Wrapped Ear Plugs - for Noise Reduction including Sleeping, Concerts, Gigs, Musicians and Flying"
"","B07MBBP78G","Enrolment ended","Fri Mar 08 22:14:05 UTC 2019","OptiLube Tubes - Sterile Lubricating Jelly in 5g, 42g, 82g, and 113g Tubes, Water Soluble with Easy to Use Flip Cap (42g Tube - Box of 3)"
"","B07S5CCD4F","Enrolment ended","Sat Sep 07 12:38:30 UTC 2024","Pollypump Manual Single Breast Pump"
"","B0839HY5ZS","Enrolment ended","Sat Sep 07 12:25:41 UTC 2024","JFA Medical Weekly Cylindrical Pill Box Organiser/Reminder for Medicines Supplements, Vitamins, 7days, 2 compartments per Day"
"","B08NRCZW29","Enrolment ended","Sat Sep 07 11:30:17 UTC 2024","Inksafe Black Tattoo Clip Cord Covers/Sleeves 5cm x 80cm - Box of 125"
"","B08NRNG137","Enrolment ended","Tue Aug 12 15:21:27 UTC 2025","Inksafe Tattoo Black Machine Bags/Covers 14cm x 14cm - Pack of 250"
"","B08NS16MYZ","Enrolment ended","Fri Sep 06 16:41:11 UTC 2024","Inksafe Tattoo Blue Machine Bags/Covers 14cm x 14cm - Pack of 250"
"","B08NSGCGH8","Enrolment ended","Tue Aug 12 15:33:54 UTC 2025","Inksafe Tattoo Blue Clipcord Sleeve/Cover Uncut Roll 5cm x 250m"
"","B08NSKVLSX","Enrolment ended","Tue Aug 12 14:51:45 UTC 2025","Inksafe Tattoo Black Clipcord Sleeve/Cover Uncut Roll 5cm x 250m"
"","B08NSQ2SNZ","Enrolment ended","Fri Sep 06 16:04:06 UTC 2024","Inksafe Tattoo Clear Bottle Covers 15cm x 25.5cm - Box of 250"
"","B08NSQFM5D","Enrolment ended","Fri Sep 06 16:11:14 UTC 2024","Inksafe Tattoo Black Bottle Covers 15cm x 25.5cm - Box of 250"
"","B08WS1RLH8","Enrolment ended","Tue Aug 12 15:11:09 UTC 2025","Knine Assorted Self-Adhesive Elastic Pet Cohesive Bandages Vet Wrap for Dogs 5cm x 4.5m - Box of 12"
"JF0114","B072FLV7ZZ","Enrolment ended","Tue Aug 12 14:54:44 UTC 2025","Pack of 100 Wooden Waxing Spatulas Wax Applicator Sticks/Wooden Tongue Depressors"
"JF0115","B084YYWW7B","Enrolment ended","Tue Aug 12 14:12:45 UTC 2025","JFA Medical Microporous Surgical Tape First Aid Medical Tape 1.25cm x 10m - Pack of 24 Rolls"
"JF0118","B01N1EMNFE","Enrolment ended","Sat Sep 07 12:08:39 UTC 2024","JFA Medical Blue Small Strip Plasters 19 x 38mm 100 Plasters Per Pack"
"JF0119","B01M9IBWSX","Enrolment ended","Tue Aug 12 14:19:15 UTC 2025","JFA Medical Blue Plasters 100 Plasters per Pack (Assorted (6 Sizes))"
"JF0120","B01N8UI2BK","Enrolment ended","Tue Aug 12 14:04:19 UTC 2025","JFA Medical Blue Plasters 100 Plasters per Pack (Medium (72 x 19mm))"
"JF0121","B01MD1QIWE","Enrolment ended","Tue Aug 12 14:01:13 UTC 2025","JFA Medical Blue Plasters 100 Plasters per Pack (Large (72 x 22mm))"
"JF0122","B01M6BC354","Enrolment ended","Tue Aug 12 15:10:24 UTC 2025","JFA Medical Fabric Assorted Plasters (6 Sizes) 100 Plasters per Pack"
"JF0128","B01M2C03ZE","Enrolment ended","Tue Aug 12 11:36:06 UTC 2025","JFA Washproof Assorted Plasters (6 Sizes) 100 Plasters Per Box"
"JF0129","B01M74YE5Y","Enrolment ended","Tue Aug 12 14:18:45 UTC 2025","JFA Washproof Medium Strip 19x72mm 100 Plasters Per Pack"
"JF0130","B01M6C625I","Enrolment ended","Tue Aug 12 14:19:13 UTC 2025","JFA Washproof Large Strip Plasters 22x72mm 100 per Pack"
"JF0140","B07NV3X8LF","Enrolment ended","Tue Aug 12 13:54:53 UTC 2025","JFA Medical Pack of 25 Adhesive Wound Dressings - Suitable for cuts, Scratches, abrasions and grazes (100mmx200mm)"
"JF0197","B01NA6RZSB","Enrolment ended","Fri Sep 06 15:32:48 UTC 2024","JFA Medical Conforming Bandage, Gauze Bandage Roll 7.5cm x 4m - Pack of 12"
"JF0234","B0DB2X1CRD","Enrolment ended","Sat Jul 26 13:52:55 UTC 2025","Cutiderm Small Round Spot Plasters 22 x 22mm 100 Plasters Per Box"
"JF0235","B0DB8QG7F3","Enrolment ended","Sat Jul 26 13:50:44 UTC 2025","Cutiderm Transparent Small Round Spot Plasters 22 x 22mm 200 Plasters Per Box"
"JF0781","B07T8B9QFG","Enrolment ended","Tue Aug 12 13:54:11 UTC 2025","Pack of 150 Sterile Bonnaqua Water Based Lubricant/Lubricating Gel/Jelly 5g Sachets"
